basDt,srtnCd,fndNm,ctg,setpDt,fndTp,prdClsfCd,asoStdCd
20260511,E1531,NH-Amundi UBP 글로벌리더스30 증권자투자신탁(H)[주식-재간접형] Class Ae,자산운용,20230420,재간접,1612361200102111121C,K55232E15313
20260511,E1534,NH-Amundi UBP 글로벌리더스30 증권자투자신탁(H)[주식-재간접형] Class Ce,자산운용,20230420,재간접,1612361200102111121C,K55232E15347
20260511,E1539,NH-Amundi UBP 글로벌리더스30 증권자투자신탁(H)[주식-재간접형] Class C-P1e(연금저축),자산운용,20230420,재간접,1612361203602111121C,K55232E15396
20260511,E9883,키움글로벌반도체Smart Investor분할매수증권투자신탁[혼합-재간접형] Class C-F,자산운용,20240507,재간접,161317120010229ZZZZB,K55206E98834
20260511,E9877,키움글로벌반도체Smart Investor분할매수증권투자신탁[혼합-재간접형] Class A,자산운용,20240510,재간접,161312120010231ZZZZB,K55206E98776
20260511,E9879,키움글로벌반도체Smart Investor분할매수증권투자신탁[혼합-재간접형] Class A-e,자산운용,20240514,재간접,161316120010229ZZZZB,K55206E98792
20260511,E6530,한화 헤라클레스 선진국 액티브 증권 자투자신탁(UH)(주식) J-P(연금저축),자산운용,20231127,주식형,12123C12036021111ZZ2,K55213E65300
20260511,E9881,키움글로벌반도체Smart Investor분할매수증권투자신탁[혼합-재간접형] Class C-e,자산운용,20240514,재간접,161316120010229ZZZZB,K55206E98818
20260511,E9885,키움글로벌반도체Smart Investor분할매수증권투자신탁[혼합-재간접형] Class C-Pe,자산운용,20240517,재간접,16131A120360229ZZZZB,K55206E98859
20260511,E9876,키움글로벌반도체Smart Investor분할매수증권투자신탁[혼합-재간접형],자산운용,20240507,재간접,161311120010229ZZZZB,K55206E98768
20260511,E9880,키움글로벌반도체Smart Investor분할매수증권투자신탁[혼합-재간접형] Class C,자산운용,20240507,재간접,161314120010229ZZZZB,K55206E98800
20260511,ED284,다올내일출금초단기채공모주증권투자신탁[채권혼합] 종류C-Pe,자산운용,20240715,혼합채권형,141116120360131ZZZZ5,K55306ED2842
20260511,E7994,다올주주환원증권투자신탁[주식] 종류Ce,자산운용,20240222,주식형,12111612001011111112,K55306E79949
20260511,52156,한국투자마스터증권자투자신탁1호(국공채)(모),자산운용,20030507,채권형,11113112001013222ZZ5,KR5101521569
20260511,36917,한국투자마스터증권자투자신탁1호(국공채)(C),자산운용,20030507,채권형,11113412001013222ZZ5,KR5101369175
20260511,69070,피델리티미국증권자투자신탁C1(주식-재간접형),자산운용,20070517,재간접,1612341200110110120C,KR5235690702
20260511,83713,한화 Japan REITs 부동산 투자신탁 1호(리츠-재간접형) (A-e),자산운용,20050316,부동산,171212120011644ZZ20C,KR5213837135
20260511,83717,한화 Japan REITs 부동산 투자신탁 1호(리츠-재간접형) (C-e),자산운용,20050316,부동산,171214120011644ZZ20C,KR5213837176
20260511,BG943,한화아시아리츠부동산 자투자신탁(리츠-재간접형) C-e,자산운용,20160831,부동산,171236120010344ZZ18C,K55213BG9435
20260511,BG942,한화아시아리츠부동산 자투자신탁(리츠-재간접형) A-e,자산운용,20160831,부동산,171236120010344ZZ18C,K55213BG9427
20260511,B2500,삼성퇴직연금POP펀드로테이션증권자투자신탁[채권혼합-재간접형],자산운용,20150507,재간접,161331120600221ZZ265,K55105B25001
20260511,B2495,삼성글로벌펀드로테이션증권모투자신탁[채권혼합-재간접형],자산운용,20150507,재간접,16132Z120010221ZZ265,K55105B24954
20260511,97043,우리 PIMCO글로벌투자등급자투자신탁[채권_재간접형](H)Class P1,자산운용,20110209,재간접,16123A120600231ZZZZE,KR5228970434
20260511,BC777,삼성 글로벌액티브 적격TDF 2045 증권투자신탁H[주식혼합-재간접형]_Ae,자산운용,20160526,재간접,16121612001021111ZZC,K55105BC7772
20260511,B4171,베어링고배당증권투자회사(주식)ClassC-P,자산운용,20150720,주식형,22111A12036011411112,K5M302B41719
20260511,BX579,한화중국본토증권 자투자신탁 H(주식) 종류C-RPe(퇴직연금),자산운용,20171103,주식형,12123A1206017110120B,K55213BX5796
20260511,BZ107,한국투자월스트리트투자은행증권투자신탁1호(주식)(C-Pe),자산운용,20171102,주식형,1212161203602150121B,K55101BZ1079
20260511,BV419,삼성퇴직연금POP펀드로테이션증권자투자신탁[채권혼합-재간접형]_C,자산운용,20170810,재간접,161334120600221ZZ265,K55105BV4198
20260511,A2289,NH-Amundi 성장 중소형주 증권투자신탁[주식] Class C3,자산운용,20161107,주식형,12111412301011113111,KR5232A22891
20260511,BU461,NH-Amundi 성장 중소형주 증권투자신탁[주식] Class C-P1e(연금저축),자산운용,20170810,주식형,12111612036011313111,K55232BU4617
20260511,AK601,IBK 밸류 코리아 증권 자투자신탁 1호[주식] 종류 C-e,자산운용,20170110,주식형,12113612001011211112,KR5234AK6011
20260511,BV420,삼성퇴직연금POP펀드로테이션증권자투자신탁[채권혼합-재간접형]_Ce,자산운용,20170823,재간접,161336120600221ZZ265,K55105BV4206
20260511,BU279,카디안 차이나드래곤AShare증권자투자신탁(UH)[주식] 클래스C-P2(연금저축)E,자산운용,20170911,주식형,12123A12036171101ZZ2,K55229BU2798
20260511,BW891,IBK 퇴직연금 밸류40 증권 자투자신탁[채권혼합] 종류C,자산운용,20170926,혼합채권형,14113412060012211ZZ4,K55234BW8911
20260511,BR052,트러스톤칭기스칸증권투자신탁[주식]Cp클래스,자산운용,20170605,주식형,12111412036011111112,K55363BR0520
20260511,56288,한국밸류10년투자증권투자신탁1호(채권혼합)(모),자산운용,20060418,혼합채권형,14111112001012211ZZ4,KR5236562884
20260511,BU278,카디안 차이나드래곤AShare증권자투자신탁(UH)[주식] 클래스C-P(퇴직연금)E,자산운용,20170814,주식형,12123A12060171101ZZ2,K55229BU2780
20260511,BU460,NH-Amundi 성장 중소형주 증권투자신탁[주식] Class Ae,자산운용,20170817,주식형,12111612011011313111,K55232BU4609
20260511,BU462,NH-Amundi 성장 중소형주 증권투자신탁[주식] Class C-P2e(퇴직연금),자산운용,20170817,주식형,12111612060011313111,K55232BU4625
20260511,CF533,한화 스마트 법인 MMF 1호 종류C,자산운용,20180920,단기금융,1EE11412001018221ZZ6,K55213CF5334
20260511,BJ483,한국투자마스터증권자투자신탁1호(국공채)(C-W),자산운용,20180807,채권형,11113B12049013222ZZ5,K55101BJ4834
20260511,CZ578,카디안 K단기채알파증권투자신탁[채권혼합] 클래스 C,자산운용,20200130,혼합채권형,14111412001012111ZZ5,K55229CZ5787
20260511,CZ572,카디안 K단기채알파증권투자신탁[채권혼합] 클래스 A,자산운용,20200130,혼합채권형,14111212001012111ZZ5,K55229CZ5720
20260511,CZ576,카디안 K단기채알파증권투자신탁[채권혼합] 클래스 A-E,자산운용,20200211,혼합채권형,14111612001012111ZZ5,K55229CZ5761
20260511,BR950,NH-Amundi 성장 중소형주 증권투자신탁[주식]Class CG,자산운용,20180228,주식형,12111G12011011313111,K55232BR9504
20260511,D1076,한화 Japan REITs 부동산 투자신탁 1호(리츠-재간접형) C-RPe(퇴직연금),자산운용,20200213,부동산,171216120601644ZZ20C,K55213D10761
20260511,BW892,IBK 퇴직연금 밸류40 증권 자투자신탁[채권혼합] 종류C-e,자산운용,20171211,혼합채권형,14113612060012211ZZ4,K55234BW8929
20260511,CE873,베어링글로벌선순위담보채권증권자투자신탁[H](채권-재간접형)Class C,자산운용,20190308,재간접,161234120612234ZZ265,K55302CE8737
20260511,BT317,DB차이나증권투자신탁제1호[주식]ClassA-E,자산운용,20171206,주식형,12121612001171101ZZB,K55216BT3174
20260511,D4298,삼성 글로벌 EMP 적격TDF 2045 증권자투자신탁[주식혼합-재간접형]_C-Pe,자산운용,20200522,재간접,161236120360211ZZZZC,K55105D42986
20260511,D3645,삼성 글로벌 EMP 적격TDF 2055 증권자투자신탁[주식혼합-재간접형],자산운용,20200507,재간접,161231120810211ZZZZC,K55105D36459
20260511,D3644,삼성 글로벌 EMP 적격TDF 2055 증권모투자신탁[주식혼합-재간접형],자산운용,20200507,재간접,16122Z120810211ZZZZC,K55105D36442
20260511,D3153,삼성 글로벌 EMP 적격TDF 2040 증권모투자신탁[주식혼합-재간접형],자산운용,20200507,재간접,16122Z120810211ZZZZC,K55105D31534
20260511,D3154,삼성 글로벌 EMP 적격TDF 2040 증권자투자신탁[주식혼합-재간접형],자산운용,20200507,재간접,161231120810211ZZZZC,K55105D31542
20260511,D3647,삼성 글로벌 EMP 적격TDF 2045 증권모투자신탁[주식혼합-재간접형],자산운용,20200507,재간접,16122Z120810211ZZZZC,K55105D36475
20260511,D3648,삼성 글로벌 EMP 적격TDF 2045 증권자투자신탁[주식혼합-재간접형],자산운용,20200507,재간접,161231120810211ZZZZC,K55105D36483
